hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2022-01-03 18:00:00,3761.66,3778.67,3680.0,3765.89,70443.3919,262666461.24,179244,302369,368059.44569,28,136261.055362,326,91617.794437,135.12747358333334,28104.85508,71,66,60,0
2022-01-04 00:00:00,3765.89,3774.36,3713.11,3742.39,44582.5161,166781050.24,110245,295879,492109.555,56,278892.874698,324,83561.19655000001,125.11376015,14563.86464,87,57,65,0
2022-01-04 06:00:00,3742.38,3840.0,3734.44,3836.19,66756.9838,253049226.01,147761,299409,463516.40961,38,267110.16894799995,331,76870.137983,86.04321748833333,24028.10968,73,62,60,0
2022-01-04 12:00:00,3836.19,3900.73,3815.06,3838.3,93786.1504,361750901.95,218541,321010,456558.68679,62,195368.50394999998,414,110667.58242,134.14829591,32067.08208,73,72,71,0
2022-01-04 18:00:00,3838.3,3854.5,3758.4,3785.11,83132.90460000001,316601429.72,200104,305018,382840.96946,52,153616.68442499998,350,92864.087233,184.86791989999998,92258.53026,79,66,60,0
2022-01-05 00:00:00,3785.1,3826.05,3766.0,3803.86,38567.2114,146657036.3,106583,299136,375336.82116000005,30,164232.536701,331,80993.944345,131.93500878333333,80304.3231,89,62,63,0
2022-01-05 06:00:00,3803.87,3848.0,3781.42,3791.69,47208.3696,180163223.19,124137,296803,211693.33182,14,21186.610226,322,77109.491215,103.43141998,20087.74086,57,55,87,0
2022-01-05 12:00:00,3791.69,3833.0,3761.44,3772.6,66834.3409,253992393.8,160714,332425,644232.6862,46,396678.0431,400,102128.47507,159.63633341666667,50927.13037,83,86,86,1
2022-01-05 18:00:00,3773.0,3773.0,3415.0,3540.63,245332.1144,884006601.9000001,571236,321264,932860.80012,121,545421.66542,723,185448.59737,198.94261731666666,137270.7762,124,126,188,0
2022-01-06 00:00:00,3539.82,3550.43,3406.24,3456.98,143897.1918,501176376.34000003,280042,312693,964141.82679,122,640305.54604,619,161066.85624,147.99629238333333,22554.37283,111,94,155,0
2022-01-06 06:00:00,3456.97,3468.1,3300.0,3349.49,170382.65399999998,576385692.07,336635,290642,669484.0954,82,360179.81861,607,154603.85284,124.05971246,97115.65086,97,94,149,0
2022-01-06 12:00:00,3349.49,3435.19,3318.0,3422.89,117346.5997,397449738.1,244427,312287,658311.9824399999,74,343906.195,613,147659.06169,145.74615731666665,53204.38733,95,125,108,0
2022-01-06 18:00:00,3422.89,3461.33,3405.74,3406.81,65119.2958,223715830.94,145175,296873,439748.54498999997,62,183867.15303299998,390,114965.37355,133.29147265,32493.64701,68,72,83,1
2022-01-07 00:00:00,3406.81,3416.76,3140.27,3235.77,203412.29119999998,663395103.64,380425,297789,623999.41147,86,223423.99629,825,208244.3001,188.86647921666668,70090.7326,164,151,207,0
2022-01-07 06:00:00,3235.76,3289.0,3113.25,3225.68,167879.6995,538573131.78,334436,301307,704010.75043,106,382617.62456,633,163887.65453,107.65477427500001,22966.09801,135,108,155,0
2022-01-07 12:00:00,3225.86,3268.79,3064.42,3203.21,231551.53470000002,734344695.02,435491,298147,758409.9161500001,90,376302.41491,711,190732.84856,156.15804426666668,44309.92519,129,129,155,0
2022-01-07 18:00:00,3203.2,3225.24,3143.98,3199.24,66788.2008,213249842.77,157239,291247,541885.3044499999,69,290037.83651,384,111987.33548,159.38170221666667,20074.83772,88,89,99,0
2022-01-08 00:00:00,3198.68,3246.7,3181.0,3215.67,54878.1778,176365222.47,127686,287721,360761.65309,37,134018.331349,377,105313.378572,113.03796309833332,26937.07938,105,68,72,0
2022-01-08 06:00:00,3215.66,3250.0,3191.5,3219.95,68828.00570000001,221667045.57999998,132118,292098,225783.57268,20,48811.681223,304,76603.874325,83.35980714833333,22392.46497,68,58,81,1
2022-01-08 12:00:00,3219.96,3230.33,3035.94,3040.83,106104.5895,333821111.2,232423,299920,335774.60242999997,23,79659.18039,439,116008.79856,112.19726658500001,29921.88213,72,68,105,0
