hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label,Market_Regime
2021-01-08 12:00:00,1255.24,1273.75,1171.72,1215.42,547036.65706,673568202.3000001,403904,331581,1799242.7622,142,1045219.43346,1509,403675.23365,161.95767343333333,34646.0979,220,183,270,1,1
2021-01-08 18:00:00,1215.59,1229.69,1135.51,1216.93,468811.73783,554765626.3100001,428773,281619,1351903.9739,202,804735.50333,1101,290092.52312,117.93023097,40304.85763,166,155,304,1,1
2021-01-09 00:00:00,1216.72,1234.67,1171.36,1185.53,349131.93704,420374439.1,304593,311037,906474.55791,87,482543.71769,829,214415.2154,97.85860242,24939.94318,142,123,235,0,1
2021-01-09 06:00:00,1185.4,1237.0,1173.65,1220.64,318531.18009,384246754.55,251234,315421,641127.85493,65,227695.15179,812,212388.31706,79.543038365,24953.5316,132,115,167,0,0
2021-01-09 12:00:00,1220.65,1235.5,1194.08,1222.52,302975.81604999996,369162843.49,219660,316982,836729.0164,85,355906.98219,897,245265.77885,106.300229325,31612.36725,134,135,204,0,1
2021-01-09 18:00:00,1222.51,1304.37,1217.54,1276.0,478232.18196,606353339.21,356384,288319,837504.84425,86,251366.01565,1291,342234.15088000003,86.85819822666667,39177.75535,198,171,223,0,1
2021-01-10 00:00:00,1276.0,1340.98,1273.82,1315.54,405404.06403,532983964.9,288366,293452,873353.59222,127,316638.14268,1173,321914.83129,78.325046945,14902.19992,201,197,203,1,1
2021-01-10 06:00:00,1315.54,1348.33,1257.6,1259.28,438009.28942,575597526.38,331857,331636,768804.03159,80,236277.26732,1160,279612.15194,74.55152686833334,25896.26553,177,151,251,0,1
2021-01-10 12:00:00,1259.28,1325.0,1237.0,1300.65,531273.0242999999,685803066.32,392740,308998,872589.2089,91,349093.81124,1152,276801.43511,85.95488010000001,28203.25057,183,169,285,1,1
2021-01-10 18:00:00,1300.81,1310.35,1170.0,1254.25,576492.97235,723407294.69,424523,276517,880221.8515600001,90,338308.73204000003,1146,291129.10837000003,113.375762545,87320.13826,170,146,283,1,1
2021-01-11 00:00:00,1254.24,1260.0,1010.91,1094.18,963437.25781,1094508467.5900002,676618,296828,1520027.5843,174,674995.86814,1938,523051.7514,231.9934422,52641.96419,258,241,564,1,1
2021-01-11 06:00:00,1094.18,1149.99,1011.1,1067.87,892097.36084,966821280.9,569506,354682,1414424.0664,160,567684.00491,1809,459532.69829,180.58665258333335,74769.7469,287,236,531,1,1
2021-01-11 12:00:00,1067.65,1103.12,915.0,998.3,1451396.3426,1455565285.6,851838,320774,2226856.2858,298,1077784.79197,2858,722217.274,364.10807815,74030.19559,339,311,899,1,1
2021-01-11 18:00:00,998.15,1094.0,945.0,1087.01,761853.69562,773698955.3100001,459651,308001,1652689.0642,275,875630.5219,1815,468935.76893,176.73684176666666,20854.60822,274,249,508,1,1
2021-01-12 00:00:00,1087.0,1129.61,1038.34,1129.61,501640.27723,539959196.82,359509,289096,909348.5983,138,355845.91527,1213,326890.10387,89.74590254499999,12610.82948,191,161,285,1,1
2021-01-12 06:00:00,1129.6,1150.02,1065.95,1099.16,630405.57582,701954566.77,388671,314686,879856.0779,103,264188.55802,1397,355626.65449,80.37859366166667,27678.94922,185,174,284,1,1
2021-01-12 12:00:00,1099.15,1126.88,1006.33,1117.67,783226.9423700001,834273135.7,462499,305288,1012715.5344,122,393718.4244,1442,362360.18093,104.79366658333332,22995.33791,244,201,384,1,1
2021-01-12 18:00:00,1117.65,1122.93,1025.0,1050.16,387372.54512,414880193.08,305946,256438,899955.59788,98,431287.313611,1043,262009.80699,71.75438115166666,71521.39114,170,140,328,1,1
2021-01-13 00:00:00,1050.36,1059.66,987.48,1036.24,509530.00546,522585867.7,345971,269391,822129.72915,88,321742.425235,1180,301002.75386,79.84590989,104681.3089,198,206,306,0,1
2021-01-13 06:00:00,1036.24,1096.64,1031.87,1061.6,396574.23193,423493433.98,273410,290875,769913.70806,90,309293.797672,960,264320.34599,62.16581059833334,14787.937,155,126,196,0,1
2021-01-13 12:00:00,1061.64,1084.0,1045.07,1074.14,280595.80643,298821121.88,216990,295057,1313771.33437,89,887820.98479,838,232138.70782,71.82928216,11717.22312,142,117,265,0,1
2021-01-13 18:00:00,1074.47,1137.65,1071.5,1129.89,377502.34699,419278545.56,287612,271209,1000612.9262,171,530525.0014599999,984,279188.98876,58.63520317166667,15418.31502,151,154,216,1,1
2021-01-14 00:00:00,1129.79,1147.97,1086.7,1109.86,317156.17783,354512156.67,237455,280724,968514.5621,122,501333.25285,993,274722.26962,70.72162537833333,33891.14206,139,140,191,0,1
2021-01-14 06:00:00,1109.8,1174.73,1106.1,1166.59,398832.36787,459087709.86,295921,309465,3710227.9805,137,3182773.42304,1114,298957.52934,73.71934549500001,59359.0,184,154,241,0,1
2021-01-14 12:00:00,1166.48,1247.55,1147.51,1219.15,505934.78138,610323055.84,386889,320716,986766.53392,146,382192.70456,1273,335905.21067,118.44680013,41346.84791,191,182,267,1,1
2021-01-14 18:00:00,1219.35,1235.84,1163.68,1231.62,333814.05840000004,401937991.83,335504,273699,993415.53,110,567953.182,865,237074.71944,73.04894926333334,55408.57143,129,135,223,1,1
2021-01-15 00:00:00,1231.89,1256.98,1185.0,1185.36,381780.92404,469003251.7999999,359152,295445,723207.36425,91,266597.27836,958,251644.84821,72.34690779166667,21218.76625,176,160,212,0,1
2021-01-15 06:00:00,1185.36,1247.88,1175.41,1226.12,366627.82994,447169589.04,299980,331433,899904.424,146,356030.61239,1153,305127.98469,66.46010136833333,42952.38095,174,174,263,1,1
2021-01-15 12:00:00,1226.28,1230.64,1069.42,1154.8,838773.06418,977881717.4,546946,326829,1190420.4729,148,565248.62606,1422,365204.49569,152.63790496833334,51648.54969,273,270,423,1,1
2021-01-15 18:00:00,1154.53,1175.34,1111.52,1168.53,356857.01928999997,408726560.7,313188,273480,947258.9021,138,523839.49109,892,236824.52594,79.51951463500001,100464.5636,166,149,240,0,1
2021-01-16 00:00:00,1168.48,1198.1,1151.77,1164.11,273438.45454,321980471.45,230774,295477,550523.73422,83,171228.35616,722,206606.45825,67.59941703833333,40594.12028,130,103,190,0,0
2021-01-16 06:00:00,1164.12,1225.52,1162.98,1219.0,346209.41982,416279748.19,268064,302191,737249.40111,88,334418.82519,818,224206.29876,63.01064390166667,37010.49731,128,121,155,0,0
2021-01-16 12:00:00,1219.0,1298.0,1188.0,1253.51,570383.09606,710790741.48,428744,306436,952894.70374,99,276792.290719,1436,385703.63993,111.69597791,32667.97457,244,223,279,1,1
2021-01-16 18:00:00,1253.6,1280.71,1200.0,1227.83,385353.4675,478402213.5,324891,289235,644467.06313,76,188210.86505,905,233700.40372,80.260688535,37626.80002,135,110,256,0,1
2021-01-17 00:00:00,1227.83,1258.0,1200.53,1215.42,284488.51325,350432580.04,242794,275496,506434.8172,50,166541.51693,702,175793.11549,70.47958229833334,11026.39439,120,104,195,1,0
2021-01-17 06:00:00,1215.5,1228.6,1165.0,1219.52,472896.45767,565752562.09,348458,287901,698617.0215,75,303341.46912,822,211930.0215,57.03738998166667,12668.40243,112,111,182,0,0
2021-01-17 12:00:00,1219.52,1251.0,1191.03,1232.21,329858.87389,404188914.64,265132,296281,592036.42524,70,206858.68007,783,202267.74981,63.46703453666667,26326.16978,141,128,165,0,0
2021-01-17 18:00:00,1232.33,1269.02,1210.54,1232.45,230041.16095,286050307.65999997,264894,273418,630904.5769,85,266119.82511,692,191072.89196,65.36645009666667,19407.73857,119,99,184,1,0
2021-01-18 00:00:00,1232.5,1247.73,1182.58,1207.84,287104.69905,348557898.0,290370,292455,707194.96256,98,262567.32670000003,844,229881.04303,68.6426451,37067.24647,141,131,129,0,0
2021-01-18 06:00:00,1207.86,1234.23,1195.56,1225.43,227878.36741,277693191.32,219327,334555,694996.6925199999,101,275674.71617,858,207749.25942,70.14512376166667,32430.82804,155,127,128,0,0
2021-01-18 12:00:00,1225.43,1255.5,1211.66,1218.58,313917.77219,388614990.25,271993,312009,1056748.94562,178,606780.77752,861,226809.26405,91.85077407333334,30985.48654,146,135,181,0,1
2021-01-18 18:00:00,1218.58,1260.75,1213.87,1258.45,169149.27208,208761961.18,158914,278934,437479.1906,45,106092.77026,600,170562.35005,69.92713951166667,45889.23261,93,103,103,0,0
2021-01-19 00:00:00,1258.52,1345.0,1251.49,1321.27,577395.8,757364152.26,428126,308626,1441515.5621,232,637586.7408,1721,498187.9596,94.75477309666668,15470.33773,275,248,294,0,1
2021-01-19 06:00:00,1321.33,1433.0,1317.0,1429.56,618210.62544,851292672.8399999,474707,334281,1387299.378,181,548260.97014,1754,481730.97748,87.74096748166666,33301.9186,323,266,251,1,1
2021-01-19 12:00:00,1429.47,1438.3,1371.0,1416.13,541588.21746,763940760.1,475917,318975,1451637.3213,234,662655.93252,1508,421157.90666,129.19576503333334,24211.45307,342,277,292,1,1
2021-01-19 18:00:00,1416.14,1424.96,1334.41,1365.36,541657.9147,748383338.63,461731,290354,1205750.6964,140,627730.7401,1237,348699.11264,91.34325149166666,47619.04762,188,174,263,1,1
2021-01-20 00:00:00,1365.36,1407.93,1316.25,1368.14,485854.00022,665355816.09,391559,300144,1185746.72323,144,588985.1499099999,1207,346915.7502,70.01561739166667,35195.48612,203,200,240,1,1
