hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2017-08-24 00:00:00,315.74,322.36,314.01,318.0,1639.78962,519157.53076,1404,95427,2997133.681,50,153714.910853,5015,2611183.3137,26.495878943333334,2880.284027,538,555,32,0
2017-08-24 06:00:00,319.57,323.61,316.14,323.61,2165.96347,690921.90617,2060,92280,2174674.1249,62,213309.02477,3458,1702697.0171,24.180409843333333,3046.850266,392,386,49,0
2017-08-24 12:00:00,322.51,328.04,317.9,322.45,1545.59179,497302.91273,1809,92142,3002792.9732,66,369266.33179,4666,2369070.4955,24.564599373333333,21000.0,538,551,53,0
2017-08-24 18:00:00,322.45,326.33,318.97,323.42,1401.92704,452034.76443,1222,72616,3682651.1122000003,58,171378.087248,6262,3350969.0825,20.049051143333333,1145.89197,719,697,37,0
2017-08-25 00:00:00,323.42,335.0,323.42,331.73,1975.2462,646812.99367,2087,110728,2883056.3736,43,160969.45451,4503,2459743.1917,24.985392598333334,800.0,518,528,65,0
2017-08-25 06:00:00,331.74,335.41,327.4,331.26,1746.63526,578075.43242,1427,88086,2256177.9862,64,233931.068889,3556,1744946.0136,28.79123900833333,310806.6905,395,398,58,0
2017-08-25 12:00:00,329.68,338.28,328.72,332.01,2298.40348,764685.80238,2880,83989,2895963.2698,115,403001.25701000006,4469,2228103.7337,25.774615490000002,250000.0,489,496,39,0
2017-08-25 18:00:00,333.2,336.49,324.9,327.24,1105.68468,364587.80981999997,1058,69818,2304252.0471,42,134655.63367100002,5664,2003761.1167,20.298093041666665,5803.986977,736,738,34,0
2017-08-26 00:00:00,327.24,332.27,323.41,326.23,1051.6689099999999,342857.54279,1015,85723,1584364.473,50,113072.767809,4149,1272483.1631,25.321729873333336,3684.0,512,502,40,0
2017-08-26 06:00:00,325.23,331.25,324.06,327.89,1445.1486,473865.65434,1110,73383,1173480.8602,24,173406.25779899998,2975,826950.256,23.523879235,30720.00122,365,377,35,0
2017-08-26 12:00:00,328.25,335.44,324.06,331.04,1292.9197100000001,425133.51289,1163,78342,1555451.1583,46,130573.2493,4115,1199435.4346,23.697965461666666,35000.0,520,545,69,0
2017-08-26 18:00:00,327.38,334.17,327.03,330.79,1087.9479900000001,360137.66731399996,1112,68820,1041126.4934,24,38538.705852,2945,874659.5187,17.67833805,1976.723239,389,398,31,0
2017-08-27 00:00:00,332.18,338.29,330.79,335.0,1492.21504,498564.10198,1584,89342,2337556.5439,40,509940.09042499994,4887,1643106.0411,25.556193863333334,200000.0,1104,1235,66,0
2017-08-27 06:00:00,332.75,338.42,330.73,333.94,1110.82399,371370.4204,1379,71426,1036557.5007,37,105058.985942,2667,763075.5157999999,22.14747377,15555.53229,360,364,65,0
2017-08-27 12:00:00,333.93,339.14,331.88,337.56,1162.06717,389080.94294,1102,85461,1490952.3755,72,174271.10558,3795,1126138.3329,21.23403893,774.0,486,501,106,0
2017-08-27 18:00:00,339.89,348.13,336.02,348.13,870.33095,295461.89281,908,77944,14702025.2028,2661,13804597.764010001,1773,779721.11623,19.686422815,4077.776113,517,467,53,1
2017-08-28 00:00:00,348.11,351.0,331.95,336.01,1489.7174,509559.08575,1558,104003,10688248.148,3345,9549537.456,1959,915255.48436,25.998023406666665,8266.881734,702,713,152,0
2017-08-28 06:00:00,337.19,342.86,336.01,341.9,1026.91347,348314.54929,1028,81870,4761554.8425,1845,3877848.5839,1405,700636.47914,22.819423065,2000.0,329,350,49,0
2017-08-28 12:00:00,339.62,347.41,339.34,340.49,950.77331,326189.80854,1145,96513,7883243.72,2653,5801005.1199,4006,1848868.5408,21.644338375,25000.0,1111,1104,70,0
2017-08-28 18:00:00,341.84,348.5,341.77,346.0,811.77752,279694.72559000005,795,81413,4753046.2259,1180,1878239.73186,4897,2695629.6975,20.53284607166667,11127.08755,680,647,31,0
2017-08-29 00:00:00,347.0,355.0,346.0,355.0,315.18574,110463.940479,505,105421,5900795.5502,2711,4289817.3025,2899,1373027.1779,26.012370485,10287.24404,612,581,49,0
2017-08-29 06:00:00,355.0,367.13,350.72,356.75,806.7275,289861.29922,970,105958,4855379.1956,2097,3533856.1486,2482,1081436.58721,25.544196753333335,5800.0,562,579,60,0
2017-08-29 12:00:00,358.1,373.66,358.1,370.43,1127.20696,411305.68263,1006,90936,4452458.6474,1572,2523760.04489,3556,1686379.7195,27.23166694,22000.0,638,636,51,0
2017-08-29 18:00:00,372.6,377.6,365.65,374.7,783.01405,290438.698225,784,92334,5777740.2359,1380,2575292.65764,8965,2939955.5947,25.584666671666668,30590.26187,2979,3042,50,0
2017-08-30 00:00:00,374.7,381.13,367.37,381.13,446.43987,166665.39144,734,109373,9118864.531,3330,7710815.85,2785,1188140.3360000001,28.279762993333335,75393.68965,584,611,38,1
