model,seed,trigger,support_safe,support_crash,accuracy,crash_precision,crash_recall,crash_f1,tn,fp,fn,tp
whale_features,11,0.5,1124,224,0.7091988130563798,0.2765957446808511,0.4642857142857143,0.3466666666666667,852,272,120,104
price_only,11,0.5,1124,224,0.6149851632047477,0.1971252566735113,0.42857142857142855,0.270042194092827,733,391,128,96
whale_features,22,0.5,1124,224,0.787833827893175,0.36283185840707965,0.36607142857142855,0.36444444444444446,980,144,142,82
price_only,22,0.5,1124,224,0.8137982195845698,0.3333333333333333,0.12053571428571429,0.17704918032786884,1070,54,197,27
whale_features,33,0.5,1124,224,0.7655786350148368,0.3296296296296296,0.39732142857142855,0.3603238866396761,943,181,135,89
price_only,33,0.5,1124,224,0.5415430267062314,0.17598684210526316,0.47767857142857145,0.25721153846153844,623,501,117,107
