model,runs,accuracy_mean,accuracy_std,crash_precision_mean,crash_precision_std,crash_recall_mean,crash_recall_std,crash_f1_mean,crash_f1_std,fp_mean,tp_mean
price_only,3,0.6567754698318496,0.14085646881948907,0.23548181070403595,0.08539846897496879,0.3422619047619048,0.1935839753884884,0.2347676376274114,0.0503956512584322,315.3333333333333,76.66666666666667
whale_features,3,0.7542037586547972,0.04053279226441717,0.32301907757252013,0.04349645245908653,0.40922619047619047,0.05017772410740288,0.35714499925026244,0.00930544676278052,199.0,91.66666666666667
